route,seq,location,lat,lon,color,point_type
파나마 경유,1.0,부산,35.1796,129.0756,blue,waypoint
파나마 경유,1.0625,경로점_1_1,34.16762666666667,133.80389333333335,blue,intermediate
파나마 경유,1.125,경로점_1_2,33.15565333333333,138.53218666666666,blue,intermediate
파나마 경유,1.1875,경로점_1_3,32.14368,143.26048,blue,intermediate
파나마 경유,1.25,경로점_1_4,31.131706666666666,147.98877333333334,blue,intermediate
파나마 경유,1.3125,경로점_1_5,30.119733333333336,152.71706666666668,blue,intermediate
파나마 경유,1.375,경로점_1_6,29.10776,157.44536,blue,intermediate
파나마 경유,1.4375,경로점_1_7,28.09578666666667,162.17365333333333,blue,intermediate
파나마 경유,1.5,경로점_1_8,27.08381333333333,166.90194666666667,blue,intermediate
파나마 경유,1.5625,경로점_1_9,26.07184,171.63024000000001,blue,intermediate
파나마 경유,1.625,경로점_1_10,25.059866666666668,176.35853333333333,blue,intermediate
파나마 경유,1.6875,경로점_1_11,24.047893333333334,181.08682666666667,blue,intermediate
파나마 경유,1.75,경로점_1_12,23.035919999999997,185.81512,blue,intermediate
파나마 경유,1.8125,경로점_1_13,22.023946666666667,190.54341333333332,blue,intermediate
파나마 경유,1.875,경로점_1_14,21.011973333333334,195.27170666666666,blue,intermediate
파나마 경유,2.0,북태평양,20.0,-160.0,blue,waypoint
파나마 경유,2.090909090909091,경로점_2_1,19.5,-154.5,blue,intermediate
파나마 경유,2.1818181818181817,경로점_2_2,19.0,-149.0,blue,intermediate
파나마 경유,2.2727272727272725,경로점_2_3,18.5,-143.5,blue,intermediate
파나마 경유,2.3636363636363638,경로점_2_4,18.0,-138.0,blue,intermediate
파나마 경유,2.4545454545454546,경로점_2_5,17.5,-132.5,blue,intermediate
파나마 경유,2.5454545454545454,경로점_2_6,17.0,-127.0,blue,intermediate
파나마 경유,2.6363636363636362,경로점_2_7,16.5,-121.5,blue,intermediate
파나마 경유,2.7272727272727275,경로점_2_8,16.0,-116.0,blue,intermediate
파나마 경유,2.8181818181818183,경로점_2_9,15.5,-110.5,blue,intermediate
파나마 경유,3.0,멕시코_서부,15.0,-105.0,blue,waypoint
파나마 경유,3.111111111111111,경로점_3_1,14.2392375,-101.8216625,blue,intermediate
파나마 경유,3.2222222222222223,경로점_3_2,13.478475,-98.643325,blue,intermediate
파나마 경유,3.3333333333333335,경로점_3_3,12.717712500000001,-95.4649875,blue,intermediate
파나마 경유,3.4444444444444446,경로점_3_4,11.956949999999999,-92.28665000000001,blue,intermediate
파나마 경유,3.5555555555555554,경로점_3_5,11.1961875,-89.1083125,blue,intermediate
파나마 경유,3.6666666666666665,경로점_3_6,10.435425,-85.929975,blue,intermediate
파나마 경유,3.7777777777777777,경로점_3_7,9.6746625,-82.7516375,blue,intermediate
파나마 경유,4.0,파나마운하_태평양,8.9139,-79.5733,blue,waypoint
파나마 경유,4.333333333333333,경로점_4_1,9.1406,-79.74515,blue,intermediate
파나마 경유,5.0,파나마운하_대서양,9.3673,-79.917,blue,waypoint
파나마 경유,5.090909090909091,경로점_5_1,12.497,-79.32925,blue,intermediate
파나마 경유,5.181818181818182,경로점_5_2,15.6267,-78.7415,blue,intermediate
파나마 경유,5.2727272727272725,경로점_5_3,18.7564,-78.15375,blue,intermediate
파나마 경유,5.363636363636363,경로점_5_4,21.8861,-77.566,blue,intermediate
파나마 경유,5.454545454545454,경로점_5_5,25.0158,-76.97825,blue,intermediate
파나마 경유,5.545454545454545,경로점_5_6,28.1455,-76.3905,blue,intermediate
파나마 경유,5.636363636363637,경로점_5_7,31.275199999999998,-75.80275,blue,intermediate
파나마 경유,5.7272727272727275,경로점_5_8,34.4049,-75.215,blue,intermediate
파나마 경유,5.818181818181818,경로점_5_9,37.5346,-74.62725,blue,intermediate
파나마 경유,6.0,뉴욕,40.6643,-74.0395,blue,waypoint
남미 우회,1.0,부산,35.1796,129.0756,red,waypoint
남미 우회,1.0769230769230769,경로점_1_1,31.414633333333335,127.48596666666667,red,intermediate
남미 우회,1.1538461538461537,경로점_1_2,27.64966666666667,125.89633333333335,red,intermediate
남미 우회,1.2307692307692308,경로점_1_3,23.884700000000002,124.3067,red,intermediate
남미 우회,1.3076923076923077,경로점_1_4,20.119733333333336,122.71706666666667,red,intermediate
남미 우회,1.3846153846153846,경로점_1_5,16.354766666666666,121.12743333333334,red,intermediate
남미 우회,1.4615384615384617,경로점_1_6,12.5898,119.5378,red,intermediate
남미 우회,1.5384615384615383,경로점_1_7,8.82483333333333,117.94816666666667,red,intermediate
남미 우회,1.6153846153846154,경로점_1_8,5.059866666666668,116.35853333333334,red,intermediate
