route,seq,location,lat,lon,color,point_type
파나마 경유,1.0,부산,35.1796,129.0756,blue,waypoint
파나마 경유,1.25,구간_1_1,33.8847,130.5567,blue,intermediate
파나마 경유,1.5,구간_1_2,32.5898,132.0378,blue,intermediate
파나마 경유,1.75,구간_1_3,31.2949,133.5189,blue,intermediate
파나마 경유,2.0,일본_남부,30.0,135.0,blue,waypoint
파나마 경유,2.25,구간_2_1,31.25,141.25,blue,intermediate
파나마 경유,2.5,구간_2_2,32.5,147.5,blue,intermediate
파나마 경유,2.75,구간_2_3,33.75,153.75,blue,intermediate
파나마 경유,3.0,북태평양_1,35.0,160.0,blue,waypoint
파나마 경유,3.25,구간_3_1,36.25,77.5,blue,intermediate
파나마 경유,3.5,구간_3_2,37.5,-5.0,blue,intermediate
파나마 경유,3.75,구간_3_3,38.75,-87.5,blue,intermediate
파나마 경유,4.0,북태평양_2,40.0,-170.0,blue,waypoint
파나마 경유,4.25,구간_4_1,40.5,-165.0,blue,intermediate
파나마 경유,4.5,구간_4_2,41.0,-160.0,blue,intermediate
파나마 경유,4.75,구간_4_3,41.5,-155.0,blue,intermediate
파나마 경유,5.0,북태평양_3,42.0,-150.0,blue,waypoint
파나마 경유,5.25,구간_5_1,41.5,-145.0,blue,intermediate
파나마 경유,5.5,구간_5_2,41.0,-140.0,blue,intermediate
파나마 경유,5.75,구간_5_3,40.5,-135.0,blue,intermediate
파나마 경유,6.0,북태평양_4,40.0,-130.0,blue,waypoint
파나마 경유,6.25,구간_6_1,38.75,-127.5,blue,intermediate
파나마 경유,6.5,구간_6_2,37.5,-125.0,blue,intermediate
파나마 경유,6.75,구간_6_3,36.25,-122.5,blue,intermediate
파나마 경유,7.0,로스앤젤레스_근처,35.0,-120.0,blue,waypoint
파나마 경유,7.25,구간_7_1,31.25,-117.5,blue,intermediate
파나마 경유,7.5,구간_7_2,27.5,-115.0,blue,intermediate
파나마 경유,7.75,구간_7_3,23.75,-112.5,blue,intermediate
파나마 경유,8.0,멕시코_서부,20.0,-110.0,blue,waypoint
파나마 경유,8.25,구간_8_1,18.25,-105.5,blue,intermediate
파나마 경유,8.5,구간_8_2,16.5,-101.0,blue,intermediate
파나마 경유,8.75,구간_8_3,14.75,-96.5,blue,intermediate
파나마 경유,9.0,과테말라_서부,13.0,-92.0,blue,waypoint
파나마 경유,9.25,구간_9_1,11.875,-89.0,blue,intermediate
파나마 경유,9.5,구간_9_2,10.75,-86.0,blue,intermediate
파나마 경유,9.75,구간_9_3,9.625,-83.0,blue,intermediate
파나마 경유,10.0,파나마_태평양,8.5,-80.0,blue,waypoint
