route,seq,location,lat,lon,color,point_type
파나마 경유,1.0,부산,35.1796,129.0756,blue,waypoint
파나마 경유,1.0476190476190477,경로점_1_1,40.191867429144324,134.1366750493002,blue,intermediate
파나마 경유,1.0952380952380953,경로점_1_2,44.949211143632986,139.98417899788075,blue,intermediate
파나마 경유,1.1428571428571428,경로점_1_3,49.35566345564531,146.84636466110138,blue,intermediate
파나마 경유,1.1904761904761905,경로점_1_4,53.27915845981366,154.97674917482405,blue,intermediate
파나마 경유,1.2380952380952381,경로점_1_5,56.54470581350997,164.59596626793268,blue,intermediate
파나마 경유,1.2857142857142856,경로점_1_6,58.94045136633235,175.76206037851833,blue,intermediate
파나마 경유,1.3333333333333333,경로점_1_7,60.25300818457618,-171.81272545813235,blue,intermediate
파나마 경유,1.380952380952381,경로점_1_8,60.33697484461329,-158.85050440501715,blue,intermediate
파나마 경유,1.4285714285714286,경로점_1_9,59.18223232468179,-146.30337655219535,blue,intermediate
파나마 경유,1.4761904761904763,경로점_1_10,56.91922487242224,-134.94327088304595,blue,intermediate
파나마 경유,1.5238095238095237,경로점_1_11,53.75683789195031,-125.115551796996,blue,intermediate
파나마 경유,1.5714285714285714,경로점_1_12,49.9099903782965,-116.79755955157964,blue,intermediate
파나마 경유,1.619047619047619,경로점_1_13,45.55939961568932,-109.78108362008427,blue,intermediate
파나마 경유,1.6666666666666665,경로점_1_14,40.842599489181566,-103.8123254710622,blue,intermediate
파나마 경유,1.7142857142857144,경로점_1_15,35.859825108234745,-98.65814502001226,blue,intermediate
파나마 경유,1.7619047619047619,경로점_1_16,30.6833479572088,-94.12559987732837,blue,intermediate
파나마 경유,1.8095238095238095,경로점_1_17,25.36572661259916,-90.06108455186285,blue,intermediate
파나마 경유,1.8571428571428572,경로점_1_18,19.94600333468753,-86.34304943140583,blue,intermediate
파나마 경유,1.9047619047619047,경로점_1_19,14.454098959261863,-82.87396520679047,blue,intermediate
파나마 경유,2.0,파나마운하_태평양,8.9139,-79.5733,blue,waypoint
파나마 경유,2.1666666666666665,경로점_2_1,9.004605732357449,-79.6419703461856,blue,intermediate
파나마 경유,2.3333333333333335,경로점_2_2,9.095298735521522,-79.71067515341937,blue,intermediate
파나마 경유,2.5,경로점_2_3,9.18597887263131,-79.7794147873026,blue,intermediate
파나마 경유,2.6666666666666665,경로점_2_4,9.276646006577572,-79.848189613951,blue,intermediate
파나마 경유,3.0,파나마운하_대서양,9.3673,-79.917,blue,waypoint
파나마 경유,3.1666666666666665,경로점_3_1,15.641775420150557,-78.94562100040392,blue,intermediate
파나마 경유,3.3333333333333335,경로점_3_2,21.911703558489716,-77.91256090091981,blue,intermediate
파나마 경유,3.5,경로점_3_3,28.174586967338236,-76.78403249272797,blue,intermediate
파나마 경유,3.6666666666666665,경로점_3_4,34.42706409407341,-75.51467938552533,blue,intermediate
남미 우회,1.0,부산,35.1796,129.0756,red,waypoint
남미 우회,1.0476190476190477,경로점_1_1,28.310067723472088,133.705842855348,red,intermediate
남미 우회,1.0952380952380953,경로점_1_2,21.303486438345534,137.76691837331796,red,intermediate
남미 우회,1.1428571428571428,경로점_1_3,14.208440604203739,141.45454715790746,red,intermediate
남미 우회,1.1904761904761905,경로점_1_4,7.0603936864218495,144.9161640786488,red,intermediate
남미 우회,1.2380952380952381,경로점_1_5,-0.11237684435699977,148.27177067675504,red,intermediate
남미 우회,1.2857142857142856,경로점_1_6,-7.284761841211293,151.6290332130943,red,intermediate
남미 우회,1.3333333333333333,경로점_1_7,-14.431603672858934,155.09580786581077,red,intermediate
남미 우회,1.380952380952381,경로점_1_8,-21.524467394826143,158.79270533703175,red,intermediate
남미 우회,1.4285714285714286,경로점_1_9,-28.527582495771043,162.868316497639,red,intermediate
남미 우회,1.4761904761904763,경로점_1_10,-35.391823271687876,167.52030637348744,red,intermediate
남미 우회,1.5238095238095237,경로점_1_11,-42.044846740281635,173.02645532713495,red,intermediate
남미 우회,1.5714285714285714,경로점_1_12,-48.37412106809105,179.7891099658662,red,intermediate
남미 우회,1.619047619047619,경로점_1_13,-54.197747685796934,-171.61366480569683,red,intermediate
남미 우회,1.6666666666666665,경로점_1_14,-59.21896637071269,-160.42530114256937,red,intermediate
남미 우회,1.7142857142857144,경로점_1_15,-62.9799247022693,-145.95653471438678,red,intermediate
남미 우회,1.7619047619047619,경로점_1_16,-64.90294451763332,-128.4113810656558,red,intermediate
남미 우회,1.8095238095238095,경로점_1_17,-64.56565531424734,-109.81598128289997,red,intermediate
남미 우회,1.8571428571428572,경로점_1_18,-62.05007085261387,-93.04329357805457,red,intermediate
남미 우회,1.9047619047619047,경로점_1_19,-57.865835201085844,-79.56922110051624,red,intermediate
남미 우회,2.0,마젤란해협,-52.5719,-69.2175,red,waypoint
