shipment_id,vessel_imo,vessel_name,vessel_type,origin_port,origin_name,origin_country,dest_port,dest_name,material_code,material_name,material_category,quantity,unit,departure_dt,eta_planned,eta_actual,delay_hours,berth_start,unloading_end,customs_clear,factory_arrival,status,distance_nm,voyage_hours,berth_wait_hours,customs_hours,inland_hours,snapshot_date
SH-1001,IMO9800005,SUNRISE JEONBUK,벌크선,CNDLC,다롄항 (Dalian),CN,KRSMG,새만금항 (Saemangeum),CP-BMS-01,BMS 모듈 (Battery Management),전자부품,8822,개,2025-02-15 14:36,2025-02-16 20:15,2025-02-16 22:15,2,2025-02-17 02:15,2025-02-18 22:21,2025-02-19 11:36,2025-02-19 13:20,입항대기,430,29.7,4,13.2,1.7,2025-02-17
SH-1002,IMO9800006,DONGBANG EXPRESS,컨테이너선,CNQDG,칭다오항 (Qingdao),CN,KRGUN,군산항 (Gunsan),RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,1684,톤,2025-02-15 18:20,2025-02-16 16:41,2025-02-16 16:41,0,2025-02-16 17:41,2025-02-17 02:07,2025-02-18 21:36,2025-02-18 22:10,하역중,380,22.4,1,43.5,0.6,2025-02-17
SH-1003,IMO9800007,WEST SEA PRIDE,벌크선,CNSHA,상하이항 (Shanghai),CN,KRSMG,새만금항 (Saemangeum),RM-RBR-01,합성고무 (Synthetic Rubber),화학,1608,톤,2025-02-15 23:33,2025-02-17 14:49,2025-02-17 14:49,0,2025-02-17 15:49,2025-02-17 23:51,2025-02-20 00:18,2025-02-20 00:54,통관중,530,39.3,1,48.5,0.6,2025-02-18
SH-1004,IMO9800004,GUNSAN GLORY,컨테이너선,VNHPH,하이퐁항 (Hai Phong),VN,KRSMG,새만금항 (Saemangeum),RM-STL-01,열연강판 (Hot-Rolled Steel),철강,1578,톤,2025-02-14 03:41,2025-02-17 16:41,2025-02-18 00:41,8,2025-02-18 01:41,2025-02-18 09:34,2025-02-20 10:10,2025-02-20 10:56,항해중,1360,85.0,1,48.6,0.8,2025-02-18
SH-1005,IMO9800001,HANJIN SAEMANGEUM,벌크선,CNQDG,칭다오항 (Qingdao),CN,KRSMG,새만금항 (Saemangeum),RM-CHM-01,리튬 (Lithium Carbonate),화학,1600,톤,2025-02-16 09:56,2025-02-17 13:47,2025-02-17 13:47,0,2025-02-17 14:47,2025-02-17 22:47,2025-02-20 20:58,2025-02-20 22:52,통관중,390,27.9,1,70.2,1.9,2025-02-18
SH-1006,IMO9800006,DONGBANG EXPRESS,컨테이너선,CNTSN,톈진항 (Tianjin),CN,KRSMG,새만금항 (Saemangeum),RM-CHM-01,리튬 (Lithium Carbonate),화학,819,톤,2025-02-16 17:03,2025-02-17 21:52,2025-02-17 23:52,2,2025-02-17 23:52,2025-02-18 03:58,2025-02-20 12:48,2025-02-20 14:11,하역중,490,28.8,0,56.8,1.4,2025-02-18
SH-1007,IMO9800004,GUNSAN GLORY,컨테이너선,CNQDG,칭다오항 (Qingdao),CN,KRGUN,군산항 (Gunsan),RM-CHM-01,리튬 (Lithium Carbonate),화학,747,톤,2025-02-17 20:17,2025-02-18 20:02,2025-02-19 00:02,4,2025-02-19 00:02,2025-02-19 04:02,2025-02-19 16:21,2025-02-19 17:55,항해중,380,23.8,0,12.3,1.6,2025-02-19
SH-1008,IMO9800003,YELLOW SEA STAR,벌크선,CNDLC,다롄항 (Dalian),CN,KRGUN,군산항 (Gunsan),RM-CPR-01,전해동판 (Copper Cathode),비철금속,1029,톤,2025-02-17 07:05,2025-02-18 15:23,2025-02-19 15:23,24,2025-02-19 16:23,2025-02-19 21:32,2025-02-20 15:15,2025-02-20 16:46,항해중,420,32.3,1,17.7,1.5,2025-02-19
SH-1009,IMO9800005,SUNRISE JEONBUK,벌크선,CNTSN,톈진항 (Tianjin),CN,KRGUN,군산항 (Gunsan),RM-CPR-01,전해동판 (Copper Cathode),비철금속,742,톤,2025-02-17 01:25,2025-02-18 10:31,2025-02-18 10:31,0,2025-02-18 18:31,2025-02-18 22:31,2025-02-21 08:10,2025-02-21 09:50,통관중,480,33.1,8,57.6,1.7,2025-02-19
SH-1010,IMO9800007,WEST SEA PRIDE,벌크선,CNTSN,톈진항 (Tianjin),CN,KRGUN,군산항 (Gunsan),RM-CPR-01,전해동판 (Copper Cathode),비철금속,663,톤,2025-02-17 11:50,2025-02-18 23:23,2025-02-19 01:23,2,2025-02-19 02:23,2025-02-19 06:23,2025-02-21 04:11,2025-02-21 04:53,항해중,480,35.6,1,45.8,0.7,2025-02-19
SH-1011,IMO9800007,WEST SEA PRIDE,벌크선,CNQDG,칭다오항 (Qingdao),CN,KRSMG,새만금항 (Saemangeum),RM-CPR-01,전해동판 (Copper Cathode),비철금속,781,톤,2025-02-18 04:44,2025-02-19 09:37,2025-02-19 09:37,0,2025-02-19 13:37,2025-02-19 17:37,2025-02-22 06:06,2025-02-22 07:55,통관중,390,28.9,4,60.5,1.8,2025-02-20
SH-1012,IMO9800004,GUNSAN GLORY,컨테이너선,CNQDG,칭다오항 (Qingdao),CN,KRSMG,새만금항 (Saemangeum),RM-CHM-01,리튬 (Lithium Carbonate),화학,1354,톤,2025-02-18 10:40,2025-02-19 11:03,2025-02-19 11:03,0,2025-02-19 15:03,2025-02-19 21:49,2025-02-22 16:14,2025-02-22 17:42,통관중,390,24.4,4,66.4,1.5,2025-02-20
SH-1013,IMO9800001,HANJIN SAEMANGEUM,벌크선,CNNBO,닝보항 (Ningbo),CN,KRGUN,군산항 (Gunsan),RM-CHM-01,리튬 (Lithium Carbonate),화학,1348,톤,2025-02-18 04:02,2025-02-19 20:02,2025-02-19 20:02,0,2025-02-19 21:02,2025-02-20 03:47,2025-02-20 22:58,2025-02-21 00:53,하역중,560,40.0,1,19.2,1.9,2025-02-20
SH-1014,IMO9800008,SAEMANGEUM BRIDGE,컨테이너선,CNDLC,다롄항 (Dalian),CN,KRGUN,군산항 (Gunsan),CP-PCB-01,PCB 기판 (Printed Circuit Board),전자부품,8054,매,2025-02-19 02:34,2025-02-20 00:40,2025-02-20 00:40,0,2025-02-20 00:40,2025-02-21 16:56,2025-02-22 22:59,2025-02-22 23:33,하역중,420,22.1,0,30.1,0.6,2025-02-21
SH-1015,IMO9800001,HANJIN SAEMANGEUM,벌크선,CNTSN,톈진항 (Tianjin),CN,KRGUN,군산항 (Gunsan),RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,1253,톤,2025-02-19 07:01,2025-02-20 17:18,2025-02-20 17:18,0,2025-02-20 17:18,2025-02-20 23:34,2025-02-22 19:26,2025-02-22 20:45,통관중,480,34.3,0,43.9,1.3,2025-02-21
SH-1016,IMO9800007,WEST SEA PRIDE,벌크선,CNNBO,닝보항 (Ningbo),CN,KRGUN,군산항 (Gunsan),RM-CPR-01,전해동판 (Copper Cathode),비철금속,1081,톤,2025-02-19 11:14,2025-02-21 04:43,2025-02-21 04:43,0,2025-02-21 12:43,2025-02-21 18:07,2025-02-27 02:25,2025-02-27 03:23,통관중,560,41.5,8,128.3,1.0,2025-02-22
SH-1017,IMO9800006,DONGBANG EXPRESS,컨테이너선,CNSHA,상하이항 (Shanghai),CN,KRSMG,새만금항 (Saemangeum),CP-PCB-01,PCB 기판 (Printed Circuit Board),전자부품,3411,매,2025-02-20 00:33,2025-02-21 07:44,2025-02-21 13:44,6,2025-02-21 13:44,2025-02-22 06:47,2025-02-23 00:33,2025-02-23 01:39,하역중,530,31.2,0,17.8,1.1,2025-02-22
SH-1018,IMO9800007,WEST SEA PRIDE,벌크선,JPTYO,도쿄항 (Tokyo),JP,KRSMG,새만금항 (Saemangeum),RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,1421,톤,2025-02-19 03:14,2025-02-21 06:21,2025-02-21 06:21,0,2025-02-21 07:21,2025-02-21 14:27,2025-02-22 17:56,2025-02-22 19:39,통관중,690,51.1,1,27.5,1.7,2025-02-22
SH-1019,IMO9800004,GUNSAN GLORY,컨테이너선,CNQDG,칭다오항 (Qingdao),CN,KRGUN,군산항 (Gunsan),RM-STL-01,열연강판 (Hot-Rolled Steel),철강,108,톤,2025-02-21 02:43,2025-02-22 02:28,2025-02-22 02:28,0,2025-02-22 03:28,2025-02-22 07:28,2025-02-23 12:11,2025-02-23 13:58,통관중,380,23.8,1,28.7,1.8,2025-02-23
SH-1020,IMO9800004,GUNSAN GLORY,컨테이너선,CNNBO,닝보항 (Ningbo),CN,KRSMG,새만금항 (Saemangeum),CP-PCB-01,PCB 기판 (Printed Circuit Board),전자부품,4699,매,2025-02-20 15:57,2025-02-22 03:34,2025-02-22 03:34,0,2025-02-22 05:34,2025-02-23 05:04,2025-02-26 12:45,2025-02-26 14:15,하역중,570,35.6,2,79.7,1.5,2025-02-23
SH-1021,IMO9800005,SUNRISE JEONBUK,벌크선,CNQDG,칭다오항 (Qingdao),CN,KRGUN,군산항 (Gunsan),RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,260,톤,2025-02-21 05:11,2025-02-22 07:23,2025-02-22 07:23,0,2025-02-22 07:23,2025-02-22 11:23,2025-02-23 00:28,2025-02-23 01:14,통관중,380,26.2,0,13.1,0.8,2025-02-23
SH-1022,IMO9800008,SAEMANGEUM BRIDGE,컨테이너선,CNDLC,다롄항 (Dalian),CN,KRGUN,군산항 (Gunsan),CP-BMS-01,BMS 모듈 (Battery Management),전자부품,1545,개,2025-02-22 12:52,2025-02-23 10:58,2025-02-23 10:58,0,2025-02-23 11:58,2025-02-23 19:42,2025-02-24 22:20,2025-02-24 23:25,통관중,420,22.1,1,26.6,1.1,2025-02-24
SH-1023,IMO9800006,DONGBANG EXPRESS,컨테이너선,CNTSN,톈진항 (Tianjin),CN,KRSMG,새만금항 (Saemangeum),CP-PCB-01,PCB 기판 (Printed Circuit Board),전자부품,8496,매,2025-02-22 07:06,2025-02-23 11:56,2025-02-23 11:56,0,2025-02-23 12:56,2025-02-25 07:25,2025-02-27 01:22,2025-02-27 03:01,하역중,490,28.8,1,42.0,1.7,2025-02-24
SH-1024,IMO9800004,GUNSAN GLORY,컨테이너선,CNNBO,닝보항 (Ningbo),CN,KRGUN,군산항 (Gunsan),RM-CHM-01,리튬 (Lithium Carbonate),화학,1472,톤,2025-02-22 15:47,2025-02-24 02:47,2025-02-24 02:47,0,2025-02-24 10:47,2025-02-24 18:09,2025-02-26 07:50,2025-02-26 09:47,통관중,560,35.0,8,37.7,1.9,2025-02-25
SH-1025,IMO9800007,WEST SEA PRIDE,벌크선,CNNBO,닝보항 (Ningbo),CN,KRSMG,새만금항 (Saemangeum),RM-PLS-01,PE 수지 (Polyethylene),화학,669,톤,2025-02-23 22:10,2025-02-25 16:23,2025-02-25 22:23,6,2025-02-26 02:23,2025-02-26 06:23,2025-03-02 17:14,2025-03-02 18:44,입항대기,570,42.2,4,106.8,1.5,2025-02-26
SH-1026,IMO9800007,WEST SEA PRIDE,벌크선,CNQDG,칭다오항 (Qingdao),CN,KRGUN,군산항 (Gunsan),RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,345,톤,2025-02-24 12:06,2025-02-25 16:15,2025-02-25 16:15,0,2025-02-25 16:15,2025-02-25 20:15,2025-02-27 05:49,2025-02-27 07:32,통관중,380,28.1,0,33.6,1.7,2025-02-26
SH-1027,IMO9800003,YELLOW SEA STAR,벌크선,JPTYO,도쿄항 (Tokyo),JP,KRSMG,새만금항 (Saemangeum),RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,420,톤,2025-02-23 06:39,2025-02-25 11:43,2025-02-25 11:43,0,2025-02-25 13:43,2025-02-25 17:43,2025-02-26 09:59,2025-02-26 10:33,통관중,690,53.1,2,16.3,0.6,2025-02-26
SH-1028,IMO9800003,YELLOW SEA STAR,벌크선,CNSHA,상하이항 (Shanghai),CN,KRSMG,새만금항 (Saemangeum),CP-BMS-01,BMS 모듈 (Battery Management),전자부품,4269,개,2025-02-23 20:42,2025-02-25 13:28,2025-02-25 13:28,0,2025-02-25 13:28,2025-02-26 10:49,2025-02-28 07:22,2025-02-28 08:45,하역중,530,40.8,0,44.6,1.4,2025-02-26
SH-1029,IMO9800004,GUNSAN GLORY,컨테이너선,JPTYO,도쿄항 (Tokyo),JP,KRGUN,군산항 (Gunsan),RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,1103,톤,2025-02-25 02:27,2025-02-26 20:57,2025-02-26 20:57,0,2025-02-26 22:57,2025-02-27 04:27,2025-03-02 02:22,2025-03-02 04:08,하역중,680,42.5,2,69.9,1.8,2025-02-27
SH-1030,IMO9800006,DONGBANG EXPRESS,컨테이너선,CNDLC,다롄항 (Dalian),CN,KRGUN,군산항 (Gunsan),CP-BMS-01,BMS 모듈 (Battery Management),전자부품,5252,개,2025-02-26 20:06,2025-02-27 20:48,2025-02-27 20:48,0,2025-02-27 22:48,2025-03-01 01:04,2025-03-02 13:00,2025-03-02 14:37,하역중,420,24.7,2,35.9,1.6,2025-02-28
SH-1031,IMO9800002,KORYO DRAGON,컨테이너선,CNQDG,칭다오항 (Qingdao),CN,KRGUN,군산항 (Gunsan),RM-PLS-01,PE 수지 (Polyethylene),화학,733,톤,2025-02-26 16:36,2025-02-27 13:43,2025-02-27 13:43,0,2025-02-27 13:43,2025-02-27 17:43,2025-02-28 15:06,2025-02-28 16:25,통관중,380,21.1,0,21.4,1.3,2025-02-28
SH-1032,IMO9800008,SAEMANGEUM BRIDGE,컨테이너선,CNQDG,칭다오항 (Qingdao),CN,KRSMG,새만금항 (Saemangeum),RM-PLS-01,PE 수지 (Polyethylene),화학,346,톤,2025-02-27 09:45,2025-02-28 06:17,2025-02-28 06:17,0,2025-02-28 07:17,2025-02-28 11:17,2025-03-01 02:09,2025-03-01 02:53,통관중,390,20.5,1,14.9,0.7,2025-03-01
SH-1033,IMO9800006,DONGBANG EXPRESS,컨테이너선,CNNBO,닝보항 (Ningbo),CN,KRGUN,군산항 (Gunsan),RM-STL-01,열연강판 (Hot-Rolled Steel),철강,552,톤,2025-02-27 12:47,2025-02-28 21:44,2025-02-28 21:44,0,2025-03-01 05:44,2025-03-01 09:44,2025-03-05 13:35,2025-03-05 14:47,입항대기,560,32.9,8,99.8,1.2,2025-03-01
SH-1034,IMO9800001,HANJIN SAEMANGEUM,벌크선,CNNBO,닝보항 (Ningbo),CN,KRGUN,군산항 (Gunsan),RM-RBR-01,합성고무 (Synthetic Rubber),화학,1346,톤,2025-02-26 17:13,2025-02-28 09:13,2025-02-28 09:13,0,2025-02-28 09:13,2025-02-28 15:56,2025-03-01 04:52,2025-03-01 06:07,통관중,560,40.0,0,12.9,1.3,2025-03-01
SH-1035,IMO9800005,SUNRISE JEONBUK,벌크선,CNTSN,톈진항 (Tianjin),CN,KRSMG,새만금항 (Saemangeum),RM-CHM-01,리튬 (Lithium Carbonate),화학,951,톤,2025-02-27 15:32,2025-03-01 01:20,2025-03-01 01:20,0,2025-03-01 02:20,2025-03-01 07:05,2025-03-03 05:37,2025-03-03 07:05,통관중,490,33.8,1,46.5,1.5,2025-03-02
SH-1036,IMO9800001,HANJIN SAEMANGEUM,벌크선,CNTSN,톈진항 (Tianjin),CN,KRSMG,새만금항 (Saemangeum),RM-PLS-01,PE 수지 (Polyethylene),화학,1679,톤,2025-02-28 03:44,2025-03-01 14:44,2025-03-01 14:44,0,2025-03-01 18:44,2025-03-02 03:07,2025-03-03 07:33,2025-03-03 08:37,하역중,490,35.0,4,28.4,1.1,2025-03-02
SH-1037,IMO9800002,KORYO DRAGON,컨테이너선,CNNBO,닝보항 (Ningbo),CN,KRSMG,새만금항 (Saemangeum),RM-CPR-01,전해동판 (Copper Cathode),비철금속,214,톤,2025-03-01 07:05,2025-03-02 14:45,2025-03-02 14:45,0,2025-03-02 14:45,2025-03-02 18:45,2025-03-03 23:39,2025-03-04 01:12,통관중,570,31.7,0,28.9,1.5,2025-03-03
SH-1038,IMO9800005,SUNRISE JEONBUK,벌크선,CNDLC,다롄항 (Dalian),CN,KRSMG,새만금항 (Saemangeum),CP-PCB-01,PCB 기판 (Printed Circuit Board),전자부품,1622,매,2025-03-02 11:34,2025-03-03 17:13,2025-03-04 05:13,12,2025-03-04 07:13,2025-03-04 15:20,2025-03-06 04:05,2025-03-06 05:45,항해중,430,29.7,2,36.8,1.7,2025-03-04
SH-1039,IMO9800008,SAEMANGEUM BRIDGE,컨테이너선,VNHPH,하이퐁항 (Hai Phong),VN,KRSMG,새만금항 (Saemangeum),CP-BMS-01,BMS 모듈 (Battery Management),전자부품,5468,개,2025-02-28 14:07,2025-03-03 13:42,2025-03-03 13:42,0,2025-03-03 15:42,2025-03-04 19:02,2025-03-06 05:42,2025-03-06 06:57,하역중,1360,71.6,2,34.7,1.2,2025-03-04
SH-1040,IMO9800001,HANJIN SAEMANGEUM,벌크선,CNQDG,칭다오항 (Qingdao),CN,KRGUN,군산항 (Gunsan),RM-RBR-01,합성고무 (Synthetic Rubber),화학,364,톤,2025-03-02 19:34,2025-03-03 22:42,2025-03-03 22:42,0,2025-03-04 00:42,2025-03-04 04:42,2025-03-05 11:52,2025-03-05 13:48,입항대기,380,27.1,2,31.2,1.9,2025-03-04
SH-1041,IMO9800007,WEST SEA PRIDE,벌크선,CNNBO,닝보항 (Ningbo),CN,KRGUN,군산항 (Gunsan),CP-PCB-01,PCB 기판 (Printed Circuit Board),전자부품,1667,매,2025-03-02 22:37,2025-03-04 16:06,2025-03-04 16:06,0,2025-03-04 18:06,2025-03-05 02:26,2025-03-10 01:25,2025-03-10 02:00,하역중,560,41.5,2,119.0,0.6,2025-03-05
SH-1042,IMO9800007,WEST SEA PRIDE,벌크선,CNNBO,닝보항 (Ningbo),CN,KRSMG,새만금항 (Saemangeum),RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot),비철금속,591,톤,2025-03-02 21:21,2025-03-04 15:34,2025-03-04 17:34,2,2025-03-04 19:34,2025-03-04 23:34,2025-03-07 15:35,2025-03-07 16:43,통관중,570,42.2,2,64.0,1.1,2025-03-05
