date,material_code,material_name,category,unit,current_stock,daily_usage,incoming,dos,safety_stock_days,safety_stock_qty,safety_ratio,shortage_forecast_days,cover_days,coverage_pct,risk_level,stock_value_krw,unit_cost,lead_time_days
2025-02-17,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,860.8,58.5,0.0,17.2,14,700,1.23,17.2,14.0,100.0,LOW,731675348,850000,5
2025-02-18,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,1010.0,46.3,195.5,20.2,14,700,1.44,20.2,14.0,100.0,LOW,858540057,850000,5
2025-02-19,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,953.3,56.7,0.0,19.1,14,700,1.36,19.1,14.0,100.0,LOW,810336893,850000,5
2025-02-20,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,903.9,49.5,0.0,18.1,14,700,1.29,18.1,14.0,100.0,LOW,768278784,850000,5
2025-02-21,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,1056.0,50.9,203.1,21.1,14,700,1.51,21.1,14.0,100.0,LOW,897603632,850000,5
2025-02-22,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,1015.4,40.6,0.0,20.3,14,700,1.45,20.3,14.0,100.0,LOW,863077692,850000,5
2025-02-23,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,955.8,59.6,0.0,19.1,14,700,1.37,19.1,14.0,100.0,LOW,812415839,850000,5
2025-02-24,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,912.4,43.4,0.0,18.2,14,700,1.3,18.2,14.0,100.0,LOW,775554111,850000,5
2025-02-25,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,865.3,47.1,0.0,17.3,14,700,1.24,17.3,14.0,100.0,LOW,735498955,850000,5
2025-02-26,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,821.7,43.5,0.0,16.4,14,700,1.17,16.4,14.0,100.0,LOW,698487049,850000,5
2025-02-27,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,777.0,44.7,0.0,15.5,14,700,1.11,15.5,14.0,100.0,LOW,660491417,850000,5
2025-02-28,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,733.7,43.3,0.0,14.7,14,700,1.05,14.7,14.0,100.0,LOW,623682302,850000,5
2025-03-01,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,690.7,43.0,0.0,13.8,14,700,0.99,13.8,13.8,98.7,MEDIUM,587123436,850000,5
2025-03-02,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,635.1,55.6,0.0,12.7,14,700,0.91,12.7,12.7,90.7,MEDIUM,539822835,850000,5
2025-03-03,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,588.6,46.5,0.0,11.8,14,700,0.84,11.8,11.8,84.1,MEDIUM,500283842,850000,5
2025-03-04,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,932.8,54.6,398.8,18.7,14,700,1.33,18.7,14.0,100.0,LOW,792848139,850000,5
2025-03-05,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,1234.3,58.1,359.7,24.7,14,700,1.76,24.7,14.0,100.0,LOW,1049168485,850000,5
2025-03-06,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,1187.2,47.1,0.0,23.7,14,700,1.7,23.7,14.0,100.0,LOW,1009159652,850000,5
2025-03-07,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,1132.3,54.9,0.0,22.6,14,700,1.62,22.6,14.0,100.0,LOW,962480032,850000,5
2025-03-08,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,1078.7,53.6,0.0,21.6,14,700,1.54,21.6,14.0,100.0,LOW,916907181,850000,5
2025-03-09,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,1019.3,59.4,0.0,20.4,14,700,1.46,20.4,14.0,100.0,LOW,866423850,850000,5
2025-03-10,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,977.4,41.9,0.0,19.5,14,700,1.4,19.5,14.0,100.0,LOW,830831419,850000,5
2025-03-11,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,931.4,46.0,0.0,18.6,14,700,1.33,18.6,14.0,100.0,LOW,791689812,850000,5
2025-03-12,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,880.1,51.3,0.0,17.6,14,700,1.26,17.6,14.0,100.0,LOW,748123713,850000,5
2025-03-13,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,821.8,58.4,0.0,16.4,14,700,1.17,16.4,14.0,100.0,LOW,698505223,850000,5
2025-03-14,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,763.9,57.9,0.0,15.3,14,700,1.09,15.3,14.0,100.0,LOW,649299529,850000,5
2025-03-15,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,711.8,52.0,0.0,14.2,14,700,1.02,14.2,14.0,100.0,LOW,605063541,850000,5
2025-03-16,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,662.3,49.5,0.0,13.2,14,700,0.95,13.2,13.2,94.6,MEDIUM,562963323,850000,5
2025-03-17,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,622.2,40.1,0.0,12.4,14,700,0.89,12.4,12.4,88.9,MEDIUM,528909470,850000,5
2025-03-18,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,577.4,44.8,0.0,11.5,14,700,0.82,11.5,11.5,82.5,MEDIUM,490822969,850000,5
2025-03-19,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,536.8,40.6,0.0,10.7,14,700,0.77,10.7,10.7,76.7,MEDIUM,456299538,850000,5
2025-03-20,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,482.1,54.7,0.0,9.6,14,700,0.69,9.6,9.6,68.9,MEDIUM,409821032,850000,5
2025-03-21,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,441.5,40.6,0.0,8.8,14,700,0.63,8.8,8.8,63.1,MEDIUM,375301691,850000,5
2025-03-22,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,388.9,52.7,0.0,7.8,14,700,0.56,7.8,7.8,55.6,MEDIUM,330548442,850000,5
2025-03-23,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,342.2,46.7,0.0,6.8,14,700,0.49,6.8,6.8,48.9,HIGH,290880517,850000,5
2025-03-24,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,286.3,55.9,0.0,5.7,14,700,0.41,5.7,5.7,40.9,HIGH,243392819,850000,5
2025-03-25,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,391.9,59.9,165.5,7.8,14,700,0.56,7.8,7.8,56.0,MEDIUM,333121968,850000,5
2025-03-26,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,345.1,46.8,0.0,6.9,14,700,0.49,6.9,6.9,49.3,HIGH,293311667,850000,5
2025-03-27,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,305.0,40.1,0.0,6.1,14,700,0.44,6.1,6.1,43.6,HIGH,259215348,850000,5
2025-03-28,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,248.8,56.2,0.0,5.0,14,700,0.36,5.0,5.0,35.5,HIGH,211459234,850000,5
2025-03-29,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,206.7,42.1,0.0,4.1,14,700,0.3,4.1,4.1,29.5,HIGH,175684364,850000,5
2025-03-30,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,161.1,45.6,0.0,3.2,14,700,0.23,3.2,3.2,23.0,HIGH,136918678,850000,5
2025-03-31,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,115.0,46.1,0.0,2.3,14,700,0.16,2.3,2.3,16.4,CRITICAL,97714344,850000,5
2025-04-01,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,63.4,51.5,0.0,1.3,14,700,0.09,1.3,1.3,9.1,CRITICAL,53904652,850000,5
2025-04-02,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,21.4,42.0,0.0,0.4,14,700,0.03,0.4,0.4,3.1,CRITICAL,18188652,850000,5
2025-04-03,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,0.0,42.3,0.0,0.0,14,700,0.0,0.0,0.0,0.0,CRITICAL,0,850000,5
2025-04-04,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,333.8,49.6,383.4,6.7,14,700,0.48,6.7,6.7,47.7,HIGH,283758772,850000,5
2025-04-05,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,289.6,44.2,0.0,5.8,14,700,0.41,5.8,5.8,41.4,HIGH,246169860,850000,5
2025-04-06,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,401.5,45.9,157.7,8.0,14,700,0.57,8.0,8.0,57.4,MEDIUM,341250113,850000,5
2025-04-07,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,349.8,51.7,0.0,7.0,14,700,0.5,7.0,7.0,50.0,HIGH,297334735,850000,5
2025-04-08,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,601.1,44.4,295.6,12.0,14,700,0.86,12.0,12.0,85.9,MEDIUM,510903203,850000,5
2025-04-09,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,545.9,55.2,0.0,10.9,14,700,0.78,10.9,10.9,78.0,MEDIUM,463989809,850000,5
2025-04-10,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,488.5,57.3,0.0,9.8,14,700,0.7,9.8,9.8,69.8,MEDIUM,415251940,850000,5
2025-04-11,RM-STL-01,열연강판 (Hot-Rolled Steel),철강,톤,437.4,51.1,0.0,8.7,14,700,0.62,8.7,8.7,62.5,MEDIUM,371822765,850000,5
