order_id,order_date,customer_code,customer_name,customer_region,product_code,product_name,order_qty,shipped_qty,qty_fill_rate,due_date,ship_plan_date,ship_actual_date,ship_delay_days,on_time,in_full,otif,transport_mode,transport_km
ORD-5001,2025-02-17,CUS-LGE,LG에너지솔루션,오창,FG-MTR-01,전기모터 (Electric Motor),343,343,100.0,2025-02-24,2025-02-23,2025-02-23,0,True,True,True,트럭,337
ORD-5002,2025-02-17,CUS-HMC,현대자동차,울산,FG-BAT-01,배터리 팩 (Battery Pack),189,189,100.0,2025-02-20,2025-02-18,2025-02-18,0,True,True,True,트럭,101
ORD-5003,2025-02-17,CUS-EXA,수출(북미),부산항,FG-INV-01,인버터 (Inverter),448,448,100.0,2025-02-21,2025-02-20,2025-02-20,0,True,True,True,컨테이너 트럭,318
ORD-5004,2025-02-17,CUS-LGE,LG에너지솔루션,오창,FG-INV-01,인버터 (Inverter),48,48,100.0,2025-02-27,2025-02-26,2025-02-26,0,True,True,True,트럭,199
ORD-5005,2025-02-17,CUS-KIA,기아자동차,광주,FG-BAT-01,배터리 팩 (Battery Pack),66,66,100.0,2025-02-26,2025-02-24,2025-02-24,0,True,True,True,트럭,338
ORD-5006,2025-02-17,CUS-SKI,SK이노베이션,서산,FG-MTR-01,전기모터 (Electric Motor),20,20,100.0,2025-02-25,2025-02-24,2025-02-24,0,True,True,True,트럭,241
ORD-5007,2025-02-17,CUS-SSE,삼성SDI,천안,FG-CHG-01,충전기 (EV Charger),40,40,100.0,2025-02-25,2025-02-24,2025-02-24,0,True,True,True,트럭,99
ORD-5008,2025-02-18,CUS-KIA,기아자동차,광주,FG-MTR-01,전기모터 (Electric Motor),473,473,100.0,2025-02-28,2025-02-26,2025-03-01,3,False,True,False,트럭,170
ORD-5009,2025-02-18,CUS-EXP,수출(유럽),부산항,FG-MTR-01,전기모터 (Electric Motor),175,175,100.0,2025-02-21,2025-02-19,2025-02-19,0,True,True,True,컨테이너 트럭,342
ORD-5010,2025-02-18,CUS-SKI,SK이노베이션,서산,FG-BAT-01,배터리 팩 (Battery Pack),61,61,100.0,2025-02-20,2025-02-18,2025-02-18,0,True,True,True,트럭,353
ORD-5011,2025-02-19,CUS-EXP,수출(유럽),부산항,FG-BAT-01,배터리 팩 (Battery Pack),302,302,100.0,2025-02-23,2025-02-22,2025-02-22,0,True,True,True,컨테이너 트럭,297
ORD-5012,2025-02-19,CUS-LGE,LG에너지솔루션,오창,FG-MTR-01,전기모터 (Electric Motor),96,96,100.0,2025-02-21,2025-02-19,2025-02-20,1,True,True,True,트럭,248
ORD-5013,2025-02-19,CUS-SSE,삼성SDI,천안,FG-BAT-01,배터리 팩 (Battery Pack),384,384,100.0,2025-02-25,2025-02-24,2025-02-24,0,True,True,True,트럭,393
ORD-5014,2025-02-19,CUS-SKI,SK이노베이션,서산,FG-INV-01,인버터 (Inverter),419,419,100.0,2025-02-27,2025-02-25,2025-02-25,0,True,True,True,트럭,305
ORD-5015,2025-02-19,CUS-SKI,SK이노베이션,서산,FG-INV-01,인버터 (Inverter),233,233,100.0,2025-02-23,2025-02-22,2025-02-22,0,True,True,True,트럭,258
ORD-5016,2025-02-19,CUS-EXA,수출(북미),부산항,FG-CHG-01,충전기 (EV Charger),391,391,100.0,2025-02-23,2025-02-21,2025-02-21,0,True,True,True,컨테이너 트럭,346
ORD-5017,2025-02-19,CUS-EXP,수출(유럽),부산항,FG-MTR-01,전기모터 (Electric Motor),212,212,100.0,2025-02-21,2025-02-20,2025-02-20,0,True,True,True,컨테이너 트럭,315
ORD-5018,2025-02-19,CUS-SSE,삼성SDI,천안,FG-CHG-01,충전기 (EV Charger),468,468,100.0,2025-02-22,2025-02-21,2025-02-21,0,True,True,True,트럭,238
ORD-5019,2025-02-20,CUS-EXA,수출(북미),부산항,FG-BAT-01,배터리 팩 (Battery Pack),290,290,100.0,2025-02-27,2025-02-25,2025-02-26,1,True,True,True,컨테이너 트럭,313
ORD-5020,2025-02-20,CUS-KIA,기아자동차,광주,FG-BAT-01,배터리 팩 (Battery Pack),274,274,100.0,2025-02-23,2025-02-21,2025-02-21,0,True,True,True,트럭,89
ORD-5021,2025-02-20,CUS-KIA,기아자동차,광주,FG-CHG-01,충전기 (EV Charger),173,173,100.0,2025-02-27,2025-02-26,2025-03-03,5,False,True,False,트럭,297
ORD-5022,2025-02-20,CUS-SKI,SK이노베이션,서산,FG-BAT-01,배터리 팩 (Battery Pack),355,355,100.0,2025-02-27,2025-02-26,2025-02-26,0,True,True,True,트럭,333
ORD-5023,2025-02-20,CUS-EXA,수출(북미),부산항,FG-INV-01,인버터 (Inverter),153,153,100.0,2025-02-22,2025-02-20,2025-02-20,0,True,True,True,컨테이너 트럭,344
ORD-5024,2025-02-20,CUS-SKI,SK이노베이션,서산,FG-CHG-01,충전기 (EV Charger),217,217,100.0,2025-02-28,2025-02-27,2025-03-01,2,False,True,False,트럭,265
ORD-5025,2025-02-21,CUS-SSE,삼성SDI,천안,FG-MTR-01,전기모터 (Electric Motor),183,183,100.0,2025-03-03,2025-03-02,2025-03-02,0,True,True,True,트럭,278
ORD-5026,2025-02-21,CUS-EXP,수출(유럽),부산항,FG-BAT-01,배터리 팩 (Battery Pack),209,209,100.0,2025-02-25,2025-02-23,2025-02-23,0,True,True,True,컨테이너 트럭,269
ORD-5027,2025-02-21,CUS-KIA,기아자동차,광주,FG-MTR-01,전기모터 (Electric Motor),40,40,100.0,2025-02-24,2025-02-23,2025-02-23,0,True,True,True,트럭,173
ORD-5028,2025-02-21,CUS-KIA,기아자동차,광주,FG-MTR-01,전기모터 (Electric Motor),294,294,100.0,2025-02-28,2025-02-26,2025-02-26,0,True,True,True,트럭,116
ORD-5029,2025-02-21,CUS-EXP,수출(유럽),부산항,FG-INV-01,인버터 (Inverter),416,416,100.0,2025-03-03,2025-03-01,2025-03-03,2,True,True,True,컨테이너 트럭,280
ORD-5030,2025-02-21,CUS-EXP,수출(유럽),부산항,FG-BAT-01,배터리 팩 (Battery Pack),234,234,100.0,2025-03-03,2025-03-02,2025-03-02,0,True,True,True,컨테이너 트럭,326
ORD-5031,2025-02-21,CUS-KIA,기아자동차,광주,FG-BAT-01,배터리 팩 (Battery Pack),444,444,100.0,2025-02-23,2025-02-22,2025-02-22,0,True,True,True,트럭,300
ORD-5032,2025-02-21,CUS-SKI,SK이노베이션,서산,FG-MTR-01,전기모터 (Electric Motor),144,144,100.0,2025-02-26,2025-02-25,2025-02-26,1,True,True,True,트럭,208
ORD-5033,2025-02-22,CUS-KIA,기아자동차,광주,FG-CHG-01,충전기 (EV Charger),162,162,100.0,2025-03-01,2025-02-28,2025-02-28,0,True,True,True,트럭,132
ORD-5034,2025-02-22,CUS-KIA,기아자동차,광주,FG-MTR-01,전기모터 (Electric Motor),91,91,100.0,2025-03-02,2025-02-28,2025-03-02,2,True,True,True,트럭,291
ORD-5035,2025-02-22,CUS-HMC,현대자동차,울산,FG-BAT-01,배터리 팩 (Battery Pack),218,218,100.0,2025-02-24,2025-02-23,2025-02-25,2,False,True,False,트럭,125
ORD-5036,2025-02-22,CUS-EXA,수출(북미),부산항,FG-INV-01,인버터 (Inverter),225,225,100.0,2025-03-01,2025-02-27,2025-02-27,0,True,True,True,컨테이너 트럭,314
ORD-5037,2025-02-23,CUS-SSE,삼성SDI,천안,FG-CHG-01,충전기 (EV Charger),37,37,100.0,2025-02-28,2025-02-26,2025-02-26,0,True,True,True,트럭,322
ORD-5038,2025-02-23,CUS-EXP,수출(유럽),부산항,FG-INV-01,인버터 (Inverter),409,409,100.0,2025-03-05,2025-03-03,2025-03-03,0,True,True,True,컨테이너 트럭,317
ORD-5039,2025-02-23,CUS-SSE,삼성SDI,천안,FG-BAT-01,배터리 팩 (Battery Pack),492,492,100.0,2025-02-26,2025-02-24,2025-02-24,0,True,True,True,트럭,294
ORD-5040,2025-02-23,CUS-EXA,수출(북미),부산항,FG-INV-01,인버터 (Inverter),48,48,100.0,2025-02-27,2025-02-25,2025-02-25,0,True,True,True,컨테이너 트럭,297
ORD-5041,2025-02-24,CUS-HMC,현대자동차,울산,FG-INV-01,인버터 (Inverter),464,464,100.0,2025-03-01,2025-02-27,2025-02-27,0,True,True,True,트럭,107
ORD-5042,2025-02-24,CUS-SKI,SK이노베이션,서산,FG-BAT-01,배터리 팩 (Battery Pack),197,197,100.0,2025-03-05,2025-03-04,2025-03-04,0,True,True,True,트럭,296
ORD-5043,2025-02-24,CUS-KIA,기아자동차,광주,FG-INV-01,인버터 (Inverter),74,74,100.0,2025-03-02,2025-02-28,2025-02-28,0,True,True,True,트럭,188
ORD-5044,2025-02-24,CUS-LGE,LG에너지솔루션,오창,FG-BAT-01,배터리 팩 (Battery Pack),190,190,100.0,2025-03-01,2025-02-27,2025-02-28,1,True,True,True,트럭,248
ORD-5045,2025-02-25,CUS-EXP,수출(유럽),부산항,FG-MTR-01,전기모터 (Electric Motor),30,30,100.0,2025-03-02,2025-02-28,2025-03-01,1,True,True,True,컨테이너 트럭,339
