route_id,origin_port,dest_port,origin_name,dest_name,sequence,latitude,longitude,distance_nm,point_type
CNSHA-KRGUN,CNSHA,KRGUN,상하이항 (Shanghai),군산항 (Gunsan),0,31.2304,121.4737,520,waypoint
CNSHA-KRGUN,CNSHA,KRGUN,상하이항 (Shanghai),군산항 (Gunsan),1,31.5477,121.823,520,intermediate
CNSHA-KRGUN,CNSHA,KRGUN,상하이항 (Shanghai),군산항 (Gunsan),2,31.865,122.1723,520,intermediate
CNSHA-KRGUN,CNSHA,KRGUN,상하이항 (Shanghai),군산항 (Gunsan),3,32.1823,122.5216,520,intermediate
CNSHA-KRGUN,CNSHA,KRGUN,상하이항 (Shanghai),군산항 (Gunsan),4,32.4996,122.4993,520,intermediate
CNSHA-KRGUN,CNSHA,KRGUN,상하이항 (Shanghai),군산항 (Gunsan),5,32.8169,122.7871,520,intermediate
CNSHA-KRGUN,CNSHA,KRGUN,상하이항 (Shanghai),군산항 (Gunsan),6,33.1342,123.0939,520,intermediate
CNSHA-KRGUN,CNSHA,KRGUN,상하이항 (Shanghai),군산항 (Gunsan),7,33.4515,123.4214,520,intermediate
CNSHA-KRGUN,CNSHA,KRGUN,상하이항 (Shanghai),군산항 (Gunsan),8,33.7689,123.7707,520,intermediate
CNSHA-KRGUN,CNSHA,KRGUN,상하이항 (Shanghai),군산항 (Gunsan),9,34.0862,124.1418,520,intermediate
CNSHA-KRGUN,CNSHA,KRGUN,상하이항 (Shanghai),군산항 (Gunsan),10,34.4035,124.5336,520,intermediate
CNSHA-KRGUN,CNSHA,KRGUN,상하이항 (Shanghai),군산항 (Gunsan),11,34.7208,124.9443,520,intermediate
CNSHA-KRGUN,CNSHA,KRGUN,상하이항 (Shanghai),군산항 (Gunsan),12,35.0381,125.6651,520,intermediate
CNSHA-KRGUN,CNSHA,KRGUN,상하이항 (Shanghai),군산항 (Gunsan),13,35.3554,126.0144,520,intermediate
CNSHA-KRGUN,CNSHA,KRGUN,상하이항 (Shanghai),군산항 (Gunsan),14,35.6727,126.3637,520,intermediate
CNSHA-KRGUN,CNSHA,KRGUN,상하이항 (Shanghai),군산항 (Gunsan),15,35.99,126.713,520,waypoint
CNSHA-KRSMG,CNSHA,KRSMG,상하이항 (Shanghai),새만금항 (Saemangeum),0,31.2304,121.4737,530,waypoint
CNSHA-KRSMG,CNSHA,KRSMG,상하이항 (Shanghai),새만금항 (Saemangeum),1,31.5364,121.8201,530,intermediate
CNSHA-KRSMG,CNSHA,KRSMG,상하이항 (Shanghai),새만금항 (Saemangeum),2,31.8423,122.1665,530,intermediate
CNSHA-KRSMG,CNSHA,KRSMG,상하이항 (Shanghai),새만금항 (Saemangeum),3,32.1483,122.513,530,intermediate
CNSHA-KRSMG,CNSHA,KRSMG,상하이항 (Shanghai),새만금항 (Saemangeum),4,32.4543,122.4878,530,intermediate
CNSHA-KRSMG,CNSHA,KRSMG,상하이항 (Shanghai),새만금항 (Saemangeum),5,32.7603,122.7728,530,intermediate
CNSHA-KRSMG,CNSHA,KRSMG,상하이항 (Shanghai),새만금항 (Saemangeum),6,33.0662,123.0767,530,intermediate
CNSHA-KRSMG,CNSHA,KRSMG,상하이항 (Shanghai),새만금항 (Saemangeum),7,33.3722,123.4014,530,intermediate
CNSHA-KRSMG,CNSHA,KRSMG,상하이항 (Shanghai),새만금항 (Saemangeum),8,33.6782,123.7478,530,intermediate
CNSHA-KRSMG,CNSHA,KRSMG,상하이항 (Shanghai),새만금항 (Saemangeum),9,33.9842,124.116,530,intermediate
CNSHA-KRSMG,CNSHA,KRSMG,상하이항 (Shanghai),새만금항 (Saemangeum),10,34.2901,124.5049,530,intermediate
CNSHA-KRSMG,CNSHA,KRSMG,상하이항 (Shanghai),새만금항 (Saemangeum),11,34.5961,124.9127,530,intermediate
CNSHA-KRSMG,CNSHA,KRSMG,상하이항 (Shanghai),새만금항 (Saemangeum),12,34.9021,125.6307,530,intermediate
CNSHA-KRSMG,CNSHA,KRSMG,상하이항 (Shanghai),새만금항 (Saemangeum),13,35.2081,125.9772,530,intermediate
CNSHA-KRSMG,CNSHA,KRSMG,상하이항 (Shanghai),새만금항 (Saemangeum),14,35.514,126.3236,530,intermediate
CNSHA-KRSMG,CNSHA,KRSMG,상하이항 (Shanghai),새만금항 (Saemangeum),15,35.82,126.67,530,waypoint
